,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,A.1 Total Costs,A.1_Expected Number of Deaths,A.2 Total Costs,A.2_Expected Number of Deaths,A.3 Total Costs,A.3_Expected Number of Deaths,A.4 Total Costs,A.4_Expected Number of Deaths,A.5 Total Costs,A.5_Expected Number of Deaths,RfR Total Costs,Expected Evacuation Costs,sum_deaths,sum_costs
40,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,1,5,4,9,4,2,0,0,2,4,7,8,9,0,10,10,225945003.33461732,0.0,102336429.85235605,0.0,52608198.485207245,0.0006635401174401361,64676466.23393564,0.0,188017229.0297757,0.007557213028300815,515700000.0,724.7884252971465,0.008220753145740951,633583326.935892
41,1,0,1,0,0,1,1,0,0,1,1,1,0,1,0,1,0,2,4,8,1,2,5,3,0,0,0,4,4,1,2,88429031.37443781,0.0,189254776.91064662,0.0,57423135.62296812,0.0,15976868.411884628,0.0005256407402857383,94639238.49165699,0.0,1037400000.0,104.04652521240811,0.0005256407402857383,445723050.8115941
42,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,1,7,4,6,1,6,6,0,1,1,1,3,4,0,2,3,216541799.28805792,0.0,202926069.88368902,0.0021179893797695043,89400757.09106165,0.01472817558063073,26467112.01295592,2.771772608186309e-05,62047824.623025805,0.0003084213619092614,613800000.0,684.8176082737508,0.017182304048391363,597383562.8987902
43,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,4,7,7,0,6,7,1,1,3,6,0,0,3,0,0,6,154345864.93625224,0.0,214929941.12861308,0.0,81239710.74584582,0.0,15645551.745230202,0.00022105547654348764,44290379.3907364,0.00020561424127284094,854700000.0,407.782795176601,0.0004266697178163286,510451447.94667774
44,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0,3,0,2,6,7,5,5,4,5,0,1,8,2,0,4,2,102192937.55533153,0.0,237392368.97149292,0.0,59344433.82549998,0.0,36538684.63456264,0.00011261146083757292,107868959.35397628,0.0022121120535495745,741100000.0,1408.6736492672928,0.0023247235143871474,543337384.3408633
45,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,2,0,4,2,1,0,2,0,7,0,6,5,4,1,5,2,90462322.17815001,0.0,107514241.77564374,0.001678152617928069,34221561.73832255,0.0,40157991.28163976,0.0,96705227.21019611,0.0,1497800000.0,518.6418165922644,0.001678152617928069,369061344.1839522
46,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,3,4,4,5,1,7,2,0,1,2,0,1,6,10,2,1,173196108.90238762,0.0,173197494.38406855,0.000167600702906421,43224599.14167526,0.0,19337348.34775413,0.0,134238770.61058277,0.0,1572700000.0,80.06561652461488,0.000167600702906421,543194321.3864684
47,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,2,2,5,8,1,9,1,1,0,1,1,1,10,6,5,138836457.4382795,0.0,253085473.5591602,0.0,65387379.91340262,0.007386746409597272,20837804.037436202,0.00011209754895560536,177319707.92804265,0.0,442300000.0,264.4844721665827,0.0074988439585528775,655466822.8763211
48,1,1,1,1,0,1,0,0,0,1,0,1,1,0,1,2,4,10,3,2,0,3,2,3,5,0,1,9,3,0,1,224329729.65981406,0.0,119956708.8100615,0.0018084104157478462,106577704.83490406,0.003162780826306019,25843070.67017911,2.5863855229694666e-05,58044072.09764524,0.0,1444000000.0,963.0821975087199,0.004997055097283559,534751286.072604
49,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,8,2,1,5,1,0,6,9,5,3,0,0,5,2,8,170794802.51155043,0.0,104651657.86617124,0.0,128749060.98480114,0.0,8453407.696608048,0.0,130614396.6263049,0.0,672100000.0,0.0,0.0,543263325.6854358
