,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,A.1 Total Costs,A.1_Expected Number of Deaths,A.2 Total Costs,A.2_Expected Number of Deaths,A.3 Total Costs,A.3_Expected Number of Deaths,A.4 Total Costs,A.4_Expected Number of Deaths,A.5 Total Costs,A.5_Expected Number of Deaths,RfR Total Costs,Expected Evacuation Costs,sum_deaths,sum_costs
17,0,1,0,0,0,1,0,1,0,1,1,0,1,1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,3,32694901.094161935,0.0,127524943.77087751,0.022042414336660078,38273535.448497444,0.01514766773197416,0.0,0.0,30351526.042379983,0.0,1343800000.0,0.0,0.037190082068634236,228844906.35591686
18,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,7,0,0,0,3,7,0,6,6,5,1,7,2,342754773.40765446,0.09147719662089823,11913143.871131439,0.005244994486132099,62048975.90137317,0.0,44549801.360820435,0.0,106824032.87434787,0.0,590600000.0,0.0,0.09672219110703033,568090727.4153273
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,0,1,5,0,0,0,1,6,0,2,0,218641440.2492224,0.018283554693434595,92356558.85387035,0.0014399538004104553,28798397.130608946,0.0,32163483.133509006,0.0011318772286076162,65686540.48074708,0.005967936158427112,0.0,1359.9712164001876,0.026823321880879776,437646419.8479578
20,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,1,3,0,0,6,0,0,0,0,0,0,0,0,0,228565968.99850917,0.050787651926207204,83478869.75502995,0.007753444461970526,7681208.24399196,0.00646665183775336,3655978.970998383,0.0008358078426397313,142714921.3687592,0.06115595648172701,694800000.0,0.0,0.12699951255029782,466096947.3372887
21,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,3,0,1,2,1,2,6,1,2,0,0,0,0,228565968.99850917,0.050787651926207204,136073453.31352806,0.023696255752284186,85731346.7748363,0.006615537802365676,13903423.98391871,0.0,7842022.542618403,0.003380348320186063,242400000.0,0.0,0.08447979380104313,472116215.61341065
22,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,7,5,0,2,0,2,1,0,1,0,1,0,0,254964903.63354528,0.045738598310449116,110061574.43848997,0.0,81009443.88469926,0.03178490251097164,11738816.417638734,0.0013733627722572576,42373263.155226454,0.007531085292945276,121200000.0,0.0,0.0864279488866233,500148001.5295997
23,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,2,3,7,6,0,0,0,0,0,3,0,1,0,311870973.6887046,0.03293179078352337,221353140.50764406,0.0,95561218.70293963,0.028967712293072826,8571091.790241875,9.319500640097638e-06,25037214.086173728,0.0,151900000.0,1869.37702407226,0.061908822577236296,662393638.7757039
24,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,0,0,0,3,0,6,3,0,0,0,0,4,1,0,0,411923655.6774038,0.01646589539176168,120892243.43187523,0.0,24198032.45136138,0.0,14362118.62399696,0.00012839569686397536,33633288.3098041,0.0004478387566037594,61400000.0,3145.235729284653,0.017042129845229414,605009338.4944415
25,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,3,7,3,0,0,0,77174521.36298189,0.015147160847274261,125708999.91881451,0.05594818279759522,23135521.028855674,0.01954140243486438,36056768.06702294,0.0,0.0,0.0,542900000.0,0.0,0.09063674607973386,262075810.37767503
26,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,5,0,0,6,0,3,0,0,0,0,4,0,0,3,53972506.18695759,0.0,107395530.71312895,0.006537963349375117,24198032.45136138,0.0,33063108.95899708,0.0021016400412360776,197748804.10608333,0.026123120108098086,146000000.0,3312.376199312732,0.03476272349870928,416377982.41652834
